linie;bahnhof;fahrzeit_min;lat;lon
GTFS;München Hackerbrücke;1;48.14197;11.54857
GTFS;München Karlsplatz;1;48.13945;11.56562
GTFS;München Donnersbergerbrücke;2;48.14262;11.53654
GTFS;München Hbf (tief);2;48.14117;11.56049
GTFS;München Marienplatz;2;48.13705;11.57539
GTFS;München Hirschgarten;4;48.14354;11.51924
GTFS;München Isartor;4;48.13420;11.58323
GTFS;München Heimeranplatz;5;48.13296;11.53150
GTFS;München Rosenheimer Platz;5;48.12917;11.59305
GTFS;München-Pasing;5;48.14985;11.46187
GTFS;München Harras;6;48.11775;11.53631
GTFS;München-Laim;6;48.14437;11.50367
GTFS;München-Moosach;6;48.18026;11.50624
GTFS;München Ost;7;48.12744;11.60497
GTFS;München Leuchtenbergring;8;48.13425;11.61599
GTFS;München-Fasanerie;9;48.19781;11.52592
GTFS;München-Mittersendling;9;48.10782;11.53635
GTFS;München Leienfelsstr.;10;48.15454;11.42852
GTFS;München Siemenswerke;10;48.09450;11.53280
GTFS;München-Obermenzing;10;48.16422;11.47812
GTFS;Dachau Bahnhof;11;48.25465;11.44426
GTFS;München-Berg am Laim;11;48.13400;11.63330
GTFS;München-Feldmoching;11;48.21381;11.54132
GTFS;München St.Martin-Str.;12;48.11854;11.59578
GTFS;München-Aubing;12;48.15597;11.41331
GTFS;München-Westkreuz;12;48.14903;11.44394
GTFS;Gauting;13;48.07066;11.37615
GTFS;München-Langwied;13;48.16311;11.43251
GTFS;München-Solln;13;48.07992;11.52695
GTFS;München-Untermenzing;13;48.17767;11.47279
GTFS;München-Giesing;14;48.11080;11.59635
GTFS;München-Riem;15;48.14398;11.67805
GTFS;Oberschleißheim;15;48.25722;11.55783
GTFS;Puchheim;15;48.17218;11.35306
GTFS;Großhesselohe Isartalbf;16;48.07107;11.53094
GTFS;Lochham;16;48.12825;11.43089
GTFS;München-Allach;16;48.18993;11.46804
GTFS;München-Neuaubing;16;48.14171;11.42220
GTFS;München-Trudering;16;48.12606;11.66338
GTFS;Unterschleißheim;16;48.27370;11.56863
GTFS;München-Daglfing;17;48.14962;11.64933
GTFS;München-Fasangarten;17;48.09275;11.60601
GTFS;München-Lochhausen;17;48.17651;11.40789
GTFS;Petershausen(Obb);17;48.41345;11.46988
GTFS;Starnberg;17;47.99596;11.34367
GTFS;Stockdorf;17;48.09326;11.40085
GTFS;Eichenau(Oberbay);18;48.17932;11.32828
GTFS;Mammendorf;18;48.21683;11.17462
GTFS;München-Karlsfeld;18;48.21118;11.45957
GTFS;Pullach;18;48.05898;11.52185
GTFS;Deisenhofen;19;48.01954;11.58360
GTFS;Gräfelfing;19;48.11977;11.42557
GTFS;München-Englschalking;19;48.15691;11.64833
GTFS;München-Freiham;19;48.14000;11.41011
GTFS;Planegg;19;48.10531;11.41356
GTFS;Fasanenpark;20;48.07971;11.60938
GTFS;Feldkirchen(b München);20;48.15185;11.73210
GTFS;Gronsdorf;20;48.11840;11.69862
GTFS;Gröbenzell;20;48.19492;11.37411
GTFS;Harthaus;20;48.13350;11.38787
GTFS;Höllriegelskreuth;20;48.04345;11.50975
GTFS;München-Perlach;20;48.09343;11.63121
GTFS;Lohhof;21;48.28794;11.58081
